DATE,MEHOINUSNVA646N
1984-01-01,25776
1985-01-01,23274
1986-01-01,26217
1987-01-01,26878
1988-01-01,27983
1989-01-01,29340
1990-01-01,32023
1991-01-01,32937
1992-01-01,31908
1993-01-01,35814
1994-01-01,35871
1995-01-01,36084
1996-01-01,38540
1997-01-01,38854
1998-01-01,39756
1999-01-01,41461
2000-01-01,45758
2001-01-01,45403
2002-01-01,44958
2003-01-01,45184
2004-01-01,47204
2005-01-01,48209
2006-01-01,52282
2007-01-01,54058
2008-01-01,54744
2009-01-01,51434
2010-01-01,51200
2011-01-01,47043
2012-01-01,47333
2013-01-01,51846
2014-01-01,49875
2015-01-01,52008
2016-01-01,55431
2017-01-01,58041
2018-01-01,61864
2019-01-01,70906
2020-01-01,60956
