DATE,MEHOINUSUTA672N
1984-01-01,54865
1985-01-01,58061
1986-01-01,59421
1987-01-01,57987
1988-01-01,55509
1989-01-01,62085
1990-01-01,58060
1991-01-01,52071
1992-01-01,62115
1993-01-01,63302
1994-01-01,61886
1995-01-01,61723
1996-01-01,61041
1997-01-01,69005
1998-01-01,70508
1999-01-01,71767
2000-01-01,71673
2001-01-01,69384
2002-01-01,69056
2003-01-01,69518
2004-01-01,69881
2005-01-01,72829
2006-01-01,70305
2007-01-01,66990
2008-01-01,75369
2009-01-01,70738
2010-01-01,67461
2011-01-01,64006
2012-01-01,65895
2013-01-01,67945
2014-01-01,69370
2015-01-01,72392
2016-01-01,72789
2017-01-01,73694
2018-01-01,79443
2019-01-01,85578
2020-01-01,83670
